# Curated race_name -> circuit mapping.
#
# WHY THIS FILE EXISTS: results.csv has no circuit column, only race_name.
# race_name is NOT a stable circuit key -- several Grand Prix names moved
# venue across the 2000-2025 window (European, German, French, Japanese,
# United States). Season ranges below disambiguate those.
#
# Every (race_name, season) pair in results.csv MUST match exactly one row
# here; build.py fails loudly otherwise. season_to 9999 = open-ended.
#
# slug matches assets/circuits/<slug>.svg when a track map exists.
# Circuits with no SVG render a "no map available" state -- see has_map in DB.
race_name,season_from,season_to,slug,circuit_name,country
70th Anniversary Grand Prix,2020,2020,silverstone,Silverstone Circuit,United Kingdom
Abu Dhabi Grand Prix,2009,9999,yas-marina,Yas Marina Circuit,United Arab Emirates
Australian Grand Prix,2000,9999,melbourne,Albert Park Circuit,Australia
Austrian Grand Prix,2000,9999,spielberg,Red Bull Ring (A1-Ring),Austria
Azerbaijan Grand Prix,2017,9999,baku,Baku City Circuit,Azerbaijan
Bahrain Grand Prix,2004,9999,bahrain,Bahrain International Circuit,Bahrain
Belgian Grand Prix,2000,9999,spa,Circuit de Spa-Francorchamps,Belgium
Brazilian Grand Prix,2000,2019,interlagos,Autodromo Jose Carlos Pace,Brazil
British Grand Prix,2000,9999,silverstone,Silverstone Circuit,United Kingdom
Canadian Grand Prix,2000,9999,montreal,Circuit Gilles Villeneuve,Canada
Chinese Grand Prix,2004,9999,shanghai,Shanghai International Circuit,China
Dutch Grand Prix,2021,9999,zandvoort,Circuit Zandvoort,Netherlands
Eifel Grand Prix,2020,2020,nurburgring,Nurburgring,Germany
Emilia Romagna Grand Prix,2020,9999,imola,Autodromo Enzo e Dino Ferrari,Italy
European Grand Prix,2000,2007,nurburgring,Nurburgring,Germany
European Grand Prix,2008,2012,valencia,Valencia Street Circuit,Spain
European Grand Prix,2016,2016,baku,Baku City Circuit,Azerbaijan
French Grand Prix,2000,2008,magny-cours,Circuit de Nevers Magny-Cours,France
French Grand Prix,2018,2022,paul-ricard,Circuit Paul Ricard,France
German Grand Prix,2000,2008,hockenheim,Hockenheimring,Germany
German Grand Prix,2009,2009,nurburgring,Nurburgring,Germany
German Grand Prix,2010,2010,hockenheim,Hockenheimring,Germany
German Grand Prix,2011,2011,nurburgring,Nurburgring,Germany
German Grand Prix,2012,2012,hockenheim,Hockenheimring,Germany
German Grand Prix,2013,2013,nurburgring,Nurburgring,Germany
German Grand Prix,2014,2019,hockenheim,Hockenheimring,Germany
Hungarian Grand Prix,2000,9999,hungaroring,Hungaroring,Hungary
Indian Grand Prix,2011,2013,buddh,Buddh International Circuit,India
Italian Grand Prix,2000,9999,monza,Autodromo Nazionale Monza,Italy
Japanese Grand Prix,2000,2006,suzuka,Suzuka International Racing Course,Japan
Japanese Grand Prix,2007,2008,fuji,Fuji Speedway,Japan
Japanese Grand Prix,2009,9999,suzuka,Suzuka International Racing Course,Japan
Korean Grand Prix,2010,2013,yeongam,Korea International Circuit,South Korea
Las Vegas Grand Prix,2023,9999,las-vegas,Las Vegas Strip Circuit,United States
Malaysian Grand Prix,2000,2017,sepang,Sepang International Circuit,Malaysia
Mexican Grand Prix,2015,2019,mexico-city,Autodromo Hermanos Rodriguez,Mexico
Mexico City Grand Prix,2021,9999,mexico-city,Autodromo Hermanos Rodriguez,Mexico
Miami Grand Prix,2022,9999,miami,Miami International Autodrome,United States
Monaco Grand Prix,2000,9999,monaco,Circuit de Monaco,Monaco
Portuguese Grand Prix,2020,2021,portimao,Autodromo Internacional do Algarve,Portugal
Qatar Grand Prix,2021,9999,lusail,Lusail International Circuit,Qatar
Russian Grand Prix,2014,2021,sochi,Sochi Autodrom,Russia
Sakhir Grand Prix,2020,2020,bahrain-outer,Bahrain International Circuit (Outer),Bahrain
San Marino Grand Prix,2000,2006,imola,Autodromo Enzo e Dino Ferrari,Italy
Saudi Arabian Grand Prix,2021,9999,jeddah,Jeddah Corniche Circuit,Saudi Arabia
Singapore Grand Prix,2008,9999,marina-bay,Marina Bay Street Circuit,Singapore
Spanish Grand Prix,2000,9999,catalunya,Circuit de Barcelona-Catalunya,Spain
Styrian Grand Prix,2020,2021,spielberg,Red Bull Ring (A1-Ring),Austria
Sao Paulo Grand Prix,2021,9999,interlagos,Autodromo Jose Carlos Pace,Brazil
Turkish Grand Prix,2005,2021,istanbul,Istanbul Park,Turkey
Tuscan Grand Prix,2020,2020,mugello,Autodromo Internazionale del Mugello,Italy
United States Grand Prix,2000,2007,indianapolis,Indianapolis Motor Speedway,United States
United States Grand Prix,2012,9999,austin,Circuit of the Americas,United States
