season,round,session,driver_slug,lap,stint,lap_time,sector1,sector2,sector3,compound,tyre_life,fresh_tyre,speed_trap,is_personal_best,deleted,is_accurate
2018,1,fp1,vandoorne,1,1,,50.217,26.276,,ULTRASOFT,1,1,199.0,0,0,0
2018,1,fp1,vandoorne,2,2,,38.376,24.973,,ULTRASOFT,2,0,194.0,0,0,0
2018,1,fp1,vandoorne,3,3,104.092,40.062,25.482,38.548,SOFT,1,1,202.0,0,0,0
2018,1,fp1,vandoorne,4,3,89.558,29.362,24.068,36.128,SOFT,2,1,292.0,1,0,1
2018,1,fp1,vandoorne,5,3,,29.632,24.11,,SOFT,3,1,293.0,0,0,0
2018,1,fp1,vandoorne,6,4,120.978,57.109,25.451,38.418,SOFT,4,0,204.0,0,0,0
2018,1,fp1,vandoorne,7,4,87.797,29.067,23.839,34.891,SOFT,5,0,292.0,1,0,1
2018,1,fp1,vandoorne,8,4,95.9,29.041,23.842,43.017,SOFT,6,0,295.0,0,0,1
2018,1,fp1,vandoorne,9,4,86.541,28.611,23.629,34.301,SOFT,7,0,302.0,1,0,1
2018,1,fp1,vandoorne,10,4,96.092,32.462,26.316,37.314,SOFT,8,0,279.0,0,0,1
2018,1,fp1,vandoorne,11,4,98.273,31.923,25.347,41.003,SOFT,9,0,306.0,0,0,1
2018,1,fp1,vandoorne,12,4,86.482,28.723,23.47,34.289,SOFT,10,0,303.0,1,0,1
2018,1,fp1,vandoorne,13,4,88.045,28.801,24.268,34.976,SOFT,11,0,302.0,0,0,1
2018,1,fp1,vandoorne,14,4,148.469,35.572,28.287,84.61,SOFT,12,0,281.0,0,0,1
2018,1,fp1,vandoorne,15,4,,34.489,26.712,,SOFT,13,0,242.0,0,0,0
2018,1,fp1,ricciardo,1,1,,59.606,28.389,,ULTRASOFT,1,1,194.0,0,0,0
2018,1,fp1,ricciardo,2,2,103.443,40.056,25.007,38.38,ULTRASOFT,2,0,192.0,0,0,0
2018,1,fp1,ricciardo,3,2,87.608,28.934,23.395,35.279,ULTRASOFT,3,0,298.0,1,0,0
2018,1,fp1,ricciardo,4,2,108.849,38.062,29.677,41.11,ULTRASOFT,4,0,280.0,0,0,0
2018,1,fp1,ricciardo,5,2,86.299,28.735,23.257,34.307,ULTRASOFT,5,0,299.0,1,0,0
2018,1,fp1,ricciardo,6,2,109.175,36.307,30.111,42.757,ULTRASOFT,6,0,262.0,0,0,0
2018,1,fp1,ricciardo,7,2,85.462,28.37,23.073,34.019,ULTRASOFT,7,0,304.0,1,0,1
2018,1,fp1,ricciardo,8,2,111.096,37.94,30.386,42.77,ULTRASOFT,8,0,225.0,0,0,1
2018,1,fp1,ricciardo,9,2,85.063,28.235,23.122,33.706,ULTRASOFT,9,0,302.0,1,0,1
