driver,jolpica_driver_id,nationality,date_of_birth,abbreviation,permanent_number
Adrian Sutil,sutil,German,1983-01-11,SUT,99
Alex Yoong,yoong,Malaysian,1976-07-20,,
Alexander Albon,albon,Thai,1996-03-23,ALB,23
Alexander Rossi,rossi,American,1991-09-25,RSS,53
Alexander Wurz,wurz,Austrian,1974-02-15,WUR,
Allan McNish,mcnish,British,1969-12-29,,
Andrea Kimi Antonelli,antonelli,Italian,2006-08-25,ANT,12
André Lotterer,lotterer,German,1981-11-19,LOT,45
Anthony Davidson,davidson,British,1979-04-18,DAV,
Antonio Giovinazzi,giovinazzi,Italian,1993-12-14,GIO,99
Antônio Pizzonia,pizzonia,Brazilian,1980-09-11,PIZ,
Brendon Hartley,brendon_hartley,New Zealander,1989-11-10,HAR,28
Bruno Senna,bruno_senna,Brazilian,1983-10-15,SEN,
Carlos Sainz,sainz,Spanish,1994-09-01,SAI,55
Charles Leclerc,leclerc,Monegasque,1997-10-16,LEC,16
Charles Pic,pic,French,1990-02-15,PIC,
Christian Klien,klien,Austrian,1983-02-07,KLI,
Christijan Albers,albers,Dutch,1979-04-16,ALB,
Cristiano da Matta,matta,Brazilian,1973-09-19,,
Daniel Ricciardo,ricciardo,Australian,1989-07-01,RIC,3
Daniil Kvyat,kvyat,Russian,1994-04-26,KVY,26
David Coulthard,coulthard,British,1971-03-27,COU,
Eddie Irvine,irvine,British,1965-11-10,,
Enrique Bernoldi,bernoldi,Brazilian,1978-10-19,,
Esteban Gutiérrez,gutierrez,Mexican,1991-08-05,GUT,21
Esteban Ocon,ocon,French,1996-09-17,OCO,31
Felipe Massa,massa,Brazilian,1981-04-25,MAS,19
Felipe Nasr,nasr,Brazilian,1992-08-21,NAS,12
Fernando Alonso,alonso,Spanish,1981-07-29,ALO,14
Franck Montagny,montagny,French,1978-01-05,FMO,
Franco Colapinto,colapinto,Argentine,2003-05-27,COL,43
Gabriel Bortoleto,bortoleto,Brazilian,2004-10-14,BOR,5
Gastón Mazzacane,mazzacane,Argentine,1975-05-08,,
George Russell,russell,British,1998-02-15,RUS,63
Giancarlo Fisichella,fisichella,Italian,1973-01-14,FIS,
Gianmaria Bruni,bruni,Italian,1981-05-30,,
Giedo van der Garde,garde,Dutch,1985-04-25,VDG,
Giorgio Pantano,pantano,Italian,1979-02-04,,
Guanyu Zhou,zhou,Chinese,1999-05-30,ZHO,24
Heikki Kovalainen,kovalainen,Finnish,1981-10-19,KOV,
Heinz-Harald Frentzen,frentzen,German,1967-05-18,,
Isack Hadjar,hadjar,French,2004-09-28,HAD,6
Jack Aitken,aitken,British,1995-09-23,AIT,89
Jack Doohan,doohan,Australian,2003-01-20,DOO,7
Jacques Villeneuve,villeneuve,Canadian,1971-04-09,VIL,
Jaime Alguersuari,alguersuari,Spanish,1990-03-23,ALG,
Jarno Trulli,trulli,Italian,1974-07-13,TRU,
Jean Alesi,alesi,French,1964-06-11,,
Jean-Éric Vergne,vergne,French,1990-04-25,VER,25
Jenson Button,button,British,1980-01-19,BUT,22
Johnny Herbert,herbert,British,1964-06-25,,
Jolyon Palmer,jolyon_palmer,British,1991-01-20,PAL,30
Jos Verstappen,verstappen,Dutch,1972-03-04,,
Juan Pablo Montoya,montoya,Colombian,1975-09-20,MON,
Jules Bianchi,jules_bianchi,French,1989-08-03,BIA,17
Justin Wilson,wilson,British,1978-07-31,,
Jérôme d'Ambrosio,ambrosio,Belgian,1985-12-27,DAM,
Kamui Kobayashi,kobayashi,Japanese,1986-09-13,KOB,10
Karun Chandhok,chandhok,Indian,1984-01-19,CHA,
Kazuki Nakajima,nakajima,Japanese,1985-01-11,NAK,
Kevin Magnussen,kevin_magnussen,Danish,1992-10-05,MAG,20
Kimi Räikkönen,raikkonen,Finnish,1979-10-17,RAI,7
Lance Stroll,stroll,Canadian,1998-10-29,STR,18
Lando Norris,norris,British,1999-11-13,NOR,1
Lewis Hamilton,hamilton,British,1985-01-07,HAM,44
Liam Lawson,lawson,New Zealander,2002-02-11,LAW,30
Logan Sargeant,sargeant,American,2000-12-31,SAR,2
Luca Badoer,badoer,Italian,1971-01-25,BAD,
Lucas di Grassi,grassi,Brazilian,1984-08-11,DIG,
Luciano Burti,burti,Brazilian,1975-03-05,,
Marc Gené,gene,Spanish,1974-03-29,,
Marcus Ericsson,ericsson,Swedish,1990-09-02,ERI,9
Mark Webber,webber,Australian,1976-08-27,WEB,
Markus Winkelhock,markus_winkelhock,German,1980-06-13,WIN,
Max Chilton,chilton,British,1991-04-21,CHI,4
Max Verstappen,max_verstappen,Dutch,1997-09-30,VER,3
Michael Schumacher,michael_schumacher,German,1969-01-03,MSC,
Mick Schumacher,mick_schumacher,German,1999-03-22,MSC,47
Mika Häkkinen,hakkinen,Finnish,1968-09-28,,
Mika Salo,salo,Finnish,1966-11-30,,
Narain Karthikeyan,karthikeyan,Indian,1977-01-14,KAR,
Nelson Piquet Jr.,piquet_jr,Brazilian,1985-07-25,PIQ,
Nicholas Latifi,latifi,Canadian,1995-06-29,LAT,6
Nick Heidfeld,heidfeld,German,1977-05-10,HEI,
Nico Hülkenberg,hulkenberg,German,1987-08-19,HUL,27
Nico Rosberg,rosberg,German,1985-06-27,ROS,6
Nicolas Kiesa,kiesa,Danish,1978-03-03,,
Nikita Mazepin,mazepin,Russian,1999-03-02,MAZ,9
Nyck de Vries,de_vries,Dutch,1995-02-06,DEV,21
Oliver Bearman,bearman,British,2005-05-08,BEA,87
Olivier Panis,panis,French,1966-09-02,,
Oscar Piastri,piastri,Australian,2001-04-06,PIA,81
Pascal Wehrlein,wehrlein,German,1994-10-18,WEH,94
Pastor Maldonado,maldonado,Venezuelan,1985-03-09,MAL,13
Patrick Friesacher,friesacher,Austrian,1980-09-26,FRI,
Paul di Resta,resta,British,1986-04-16,DIR,40
Pedro Diniz,diniz,Brazilian,1970-05-22,,
Pedro de la Rosa,rosa,Spanish,1971-02-24,DLR,
Pierre Gasly,gasly,French,1996-02-07,GAS,10
Pietro Fittipaldi,pietro_fittipaldi,Brazilian,1996-06-25,FIT,51
Ralf Schumacher,ralf_schumacher,German,1975-06-30,SCH,
Ralph Firman,firman,Irish,1975-05-20,,
Ricardo Zonta,zonta,Brazilian,1976-03-23,ZON,
Rio Haryanto,haryanto,Indonesian,1993-01-22,HAR,88
Robert Doornbos,doornbos,Dutch,1981-09-23,DOO,
Robert Kubica,kubica,Polish,1984-12-07,KUB,88
Roberto Merhi,merhi,Spanish,1991-03-22,MER,98
Romain Grosjean,grosjean,French,1986-04-17,GRO,8
Rubens Barrichello,barrichello,Brazilian,1972-05-23,BAR,
Sakon Yamamoto,yamamoto,Japanese,1982-07-09,YAM,
Scott Speed,speed,American,1983-01-24,SPE,
Sebastian Vettel,vettel,German,1987-07-03,VET,5
Sergey Sirotkin,sirotkin,Russian,1995-08-27,SIR,35
Sergio Pérez,perez,Mexican,1990-01-26,PER,11
Stoffel Vandoorne,vandoorne,Belgian,1992-03-26,VAN,2
Sébastien Bourdais,bourdais,French,1979-02-28,BOU,
Sébastien Buemi,buemi,Swiss,1988-10-31,BUE,
