season,round,session,date,time
2006,1,fp1,2006-03-10,
2006,1,fp2,2006-03-10,
2006,1,fp3,2006-03-11,
2006,1,qualifying,2006-03-11,
2006,2,fp1,2006-03-17,
2006,2,fp2,2006-03-17,
2006,2,fp3,2006-03-18,
2006,2,qualifying,2006-03-18,
2006,3,fp1,2006-03-31,
2006,3,fp2,2006-03-31,
2006,3,fp3,2006-04-01,
2006,3,qualifying,2006-04-01,
2006,4,fp1,2006-04-21,
2006,4,fp2,2006-04-21,
2006,4,fp3,2006-04-22,
2006,4,qualifying,2006-04-22,
2006,5,fp1,2006-05-05,
2006,5,fp2,2006-05-05,
2006,5,fp3,2006-05-06,
2006,5,qualifying,2006-05-06,
2006,6,fp1,2006-05-12,
2006,6,fp2,2006-05-12,
2006,6,fp3,2006-05-13,
2006,6,qualifying,2006-05-13,
2006,7,fp1,2006-05-25,
2006,7,fp2,2006-05-25,
2006,7,fp3,2006-05-27,
2006,7,qualifying,2006-05-27,
2006,8,fp1,2006-06-09,
2006,8,fp2,2006-06-09,
2006,8,fp3,2006-06-10,
2006,8,qualifying,2006-06-10,
2006,9,fp1,2006-06-23,
2006,9,fp2,2006-06-23,
2006,9,fp3,2006-06-24,
2006,9,qualifying,2006-06-24,
2006,10,fp1,2006-06-30,
2006,10,fp2,2006-06-30,
2006,10,fp3,2006-07-01,
2006,10,qualifying,2006-07-01,
2006,11,fp1,2006-07-14,
2006,11,fp2,2006-07-14,
2006,11,fp3,2006-07-15,
2006,11,qualifying,2006-07-15,
2006,12,fp1,2006-07-28,
2006,12,fp2,2006-07-28,
2006,12,fp3,2006-07-29,
2006,12,qualifying,2006-07-29,
2006,13,fp1,2006-08-04,
2006,13,fp2,2006-08-04,
2006,13,fp3,2006-08-05,
2006,13,qualifying,2006-08-05,
2006,14,fp1,2006-08-25,
2006,14,fp2,2006-08-25,
2006,14,fp3,2006-08-26,
2006,14,qualifying,2006-08-26,
2006,15,fp1,2006-09-08,
2006,15,fp2,2006-09-08,
2006,15,fp3,2006-09-09,
2006,15,qualifying,2006-09-09,
2006,16,fp1,2006-09-29,
2006,16,fp2,2006-09-29,
2006,16,fp3,2006-09-30,
2006,16,qualifying,2006-09-30,
2006,17,fp1,2006-10-06,
2006,17,fp2,2006-10-06,
2006,17,fp3,2006-10-07,
2006,17,qualifying,2006-10-07,
2006,18,fp1,2006-10-20,
2006,18,fp2,2006-10-20,
2006,18,fp3,2006-10-21,
2006,18,qualifying,2006-10-21,
2007,1,fp1,2007-03-16,
2007,1,fp2,2007-03-16,
2007,1,fp3,2007-03-17,
2007,1,qualifying,2007-03-17,
2007,2,fp1,2007-04-06,
2007,2,fp2,2007-04-06,
2007,2,fp3,2007-04-07,
2007,2,qualifying,2007-04-07,
2007,3,fp1,2007-04-13,
2007,3,fp2,2007-04-13,
2007,3,fp3,2007-04-14,
2007,3,qualifying,2007-04-14,
2007,4,fp1,2007-05-11,
2007,4,fp2,2007-05-11,
2007,4,fp3,2007-05-12,
2007,4,qualifying,2007-05-12,
2007,5,fp1,2007-05-24,
2007,5,fp2,2007-05-24,
2007,5,fp3,2007-05-26,
2007,5,qualifying,2007-05-26,
2007,6,fp1,2007-06-08,
2007,6,fp2,2007-06-08,
2007,6,fp3,2007-06-09,
2007,6,qualifying,2007-06-09,
2007,7,fp1,2007-06-15,
2007,7,fp2,2007-06-15,
2007,7,fp3,2007-06-16,
2007,7,qualifying,2007-06-16,
2007,8,fp1,2007-06-29,
2007,8,fp2,2007-06-29,
2007,8,fp3,2007-06-30,
2007,8,qualifying,2007-06-30,
2007,9,fp1,2007-07-06,
2007,9,fp2,2007-07-06,
2007,9,fp3,2007-07-07,
2007,9,qualifying,2007-07-07,
2007,10,fp1,2007-07-20,
2007,10,fp2,2007-07-20,
2007,10,fp3,2007-07-21,
2007,10,qualifying,2007-07-21,
2007,11,fp1,2007-08-03,
2007,11,fp2,2007-08-03,
2007,11,fp3,2007-08-04,
2007,11,qualifying,2007-08-04,
2007,12,fp1,2007-08-24,
2007,12,fp2,2007-08-24,
2007,12,fp3,2007-08-25,
2007,12,qualifying,2007-08-25,
2007,13,fp1,2007-09-07,
2007,13,fp2,2007-09-07,
2007,13,fp3,2007-09-08,
2007,13,qualifying,2007-09-08,
2007,14,fp1,2007-09-14,
2007,14,fp2,2007-09-14,
2007,14,fp3,2007-09-15,
